pred,obs,N,S,rowIndex,mtry,Resample
N,N,0.862,0.138,10,2,Fold01.Rep1
N,N,0.862,0.138,22,2,Fold01.Rep1
N,N,1,0,29,2,Fold01.Rep1
S,N,0.214,0.786,67,2,Fold01.Rep1
N,N,0.942,0.058,70,2,Fold01.Rep1
N,N,0.876,0.124,71,2,Fold01.Rep1
N,N,0.862,0.138,83,2,Fold01.Rep1
N,N,0.798,0.202,90,2,Fold01.Rep1
N,N,1,0,96,2,Fold01.Rep1
N,N,0.862,0.138,104,2,Fold01.Rep1
N,N,0.768,0.232,108,2,Fold01.Rep1
N,N,0.964,0.036,120,2,Fold01.Rep1
N,N,0.876,0.124,121,2,Fold01.Rep1
N,N,0.916,0.084,138,2,Fold01.Rep1
N,N,0.996,0.004,141,2,Fold01.Rep1
N,S,0.78,0.22,150,2,Fold01.Rep1
N,S,0.998,0.002,163,2,Fold01.Rep1
N,S,0.862,0.138,165,2,Fold01.Rep1
N,S,0.862,0.138,166,2,Fold01.Rep1
N,S,0.798,0.202,200,2,Fold01.Rep1
N,S,0.964,0.036,202,2,Fold01.Rep1
N,N,0.846,0.154,7,2,Fold02.Rep1
N,N,0.862,0.138,8,2,Fold02.Rep1
N,N,0.886,0.114,9,2,Fold02.Rep1
N,N,0.846,0.154,20,2,Fold02.Rep1
N,N,0.97,0.03,38,2,Fold02.Rep1
N,N,0.506,0.494,39,2,Fold02.Rep1
N,N,0.862,0.138,40,2,Fold02.Rep1
N,N,0.736,0.264,44,2,Fold02.Rep1
N,N,0.846,0.154,48,2,Fold02.Rep1
N,N,0.652,0.348,65,2,Fold02.Rep1
N,N,0.954,0.046,78,2,Fold02.Rep1
N,N,0.996,0.004,101,2,Fold02.Rep1
N,N,0.886,0.114,109,2,Fold02.Rep1
N,N,0.954,0.046,124,2,Fold02.Rep1
N,S,0.996,0.004,151,2,Fold02.Rep1
N,S,0.954,0.046,162,2,Fold02.Rep1
N,S,0.954,0.046,168,2,Fold02.Rep1
N,S,0.954,0.046,169,2,Fold02.Rep1
N,S,0.736,0.264,174,2,Fold02.Rep1
N,S,0.886,0.114,199,2,Fold02.Rep1
N,N,0.904,0.096,23,2,Fold03.Rep1
N,N,0.984,0.016,52,2,Fold03.Rep1
N,N,0.944,0.056,53,2,Fold03.Rep1
N,N,1,0,72,2,Fold03.Rep1
N,N,0.944,0.056,75,2,Fold03.Rep1
N,N,0.762,0.238,91,2,Fold03.Rep1
S,N,0.284,0.716,102,2,Fold03.Rep1
S,N,0.472,0.528,107,2,Fold03.Rep1
N,N,0.876,0.124,113,2,Fold03.Rep1
N,N,1,0,119,2,Fold03.Rep1
N,N,0.998,0.002,123,2,Fold03.Rep1
N,N,1,0,127,2,Fold03.Rep1
N,N,0.904,0.096,135,2,Fold03.Rep1
S,N,0.33,0.67,137,2,Fold03.Rep1
S,S,0.284,0.716,154,2,Fold03.Rep1
N,S,0.984,0.016,158,2,Fold03.Rep1
N,S,0.992,0.008,177,2,Fold03.Rep1
N,S,0.84,0.16,186,2,Fold03.Rep1
N,S,0.944,0.056,195,2,Fold03.Rep1
N,S,1,0,196,2,Fold03.Rep1
N,N,1,0,4,2,Fold04.Rep1
N,N,0.854,0.146,16,2,Fold04.Rep1
N,N,0.946,0.054,25,2,Fold04.Rep1
N,N,0.68,0.32,28,2,Fold04.Rep1
N,N,0.912,0.088,73,2,Fold04.Rep1
S,N,0.496,0.504,87,2,Fold04.Rep1
N,N,0.946,0.054,89,2,Fold04.Rep1
N,N,0.966,0.034,92,2,Fold04.Rep1
N,N,1,0,115,2,Fold04.Rep1
N,N,0.934,0.066,116,2,Fold04.Rep1
N,N,0.97,0.03,129,2,Fold04.Rep1
N,N,0.68,0.32,132,2,Fold04.Rep1
N,N,0.986,0.014,136,2,Fold04.Rep1
N,N,0.912,0.088,139,2,Fold04.Rep1
N,N,1,0,142,2,Fold04.Rep1
N,S,1,0,147,2,Fold04.Rep1
N,S,0.966,0.034,152,2,Fold04.Rep1
N,S,0.68,0.32,156,2,Fold04.Rep1
N,S,0.966,0.034,170,2,Fold04.Rep1
N,S,0.966,0.034,182,2,Fold04.Rep1
N,S,0.986,0.014,189,2,Fold04.Rep1
N,S,0.958,0.042,190,2,Fold04.Rep1
N,N,0.928,0.072,3,2,Fold05.Rep1
N,N,0.93,0.07,6,2,Fold05.Rep1
N,N,0.878,0.122,14,2,Fold05.Rep1
N,N,0.912,0.088,27,2,Fold05.Rep1
N,N,0.718,0.282,46,2,Fold05.Rep1
N,N,0.998,0.002,56,2,Fold05.Rep1
N,N,0.998,0.002,57,2,Fold05.Rep1
N,N,0.994,0.006,58,2,Fold05.Rep1
N,N,0.718,0.282,76,2,Fold05.Rep1
N,N,0.85,0.15,79,2,Fold05.Rep1
N,N,0.93,0.07,82,2,Fold05.Rep1
N,N,0.998,0.002,86,2,Fold05.Rep1
N,N,0.974,0.026,88,2,Fold05.Rep1
S,N,0.214,0.786,114,2,Fold05.Rep1
N,N,0.794,0.206,133,2,Fold05.Rep1
N,S,0.912,0.088,146,2,Fold05.Rep1
N,S,0.864,0.136,172,2,Fold05.Rep1
N,S,0.994,0.006,175,2,Fold05.Rep1
N,S,0.718,0.282,176,2,Fold05.Rep1
N,S,0.794,0.206,181,2,Fold05.Rep1
N,S,0.864,0.136,193,2,Fold05.Rep1
N,N,0.966,0.034,15,2,Fold06.Rep1
N,N,0.744,0.256,18,2,Fold06.Rep1
N,N,0.744,0.256,36,2,Fold06.Rep1
N,N,0.966,0.034,47,2,Fold06.Rep1
N,N,0.924,0.076,49,2,Fold06.Rep1
N,N,0.97,0.03,54,2,Fold06.Rep1
S,N,0.498,0.502,59,2,Fold06.Rep1
N,N,0.958,0.042,61,2,Fold06.Rep1
N,N,0.93,0.07,77,2,Fold06.Rep1
N,N,0.966,0.034,81,2,Fold06.Rep1
N,N,0.984,0.016,84,2,Fold06.Rep1
N,N,0.97,0.03,94,2,Fold06.Rep1
N,N,0.658,0.342,110,2,Fold06.Rep1
N,N,0.744,0.256,134,2,Fold06.Rep1
N,S,0.966,0.034,157,2,Fold06.Rep1
N,S,0.504,0.496,159,2,Fold06.Rep1
N,S,0.924,0.076,183,2,Fold06.Rep1
N,S,0.966,0.034,184,2,Fold06.Rep1
N,S,0.504,0.496,201,2,Fold06.Rep1
N,S,0.984,0.016,205,2,Fold06.Rep1
N,N,0.986,0.014,13,2,Fold07.Rep1
N,N,0.87,0.13,17,2,Fold07.Rep1
N,N,1,0,19,2,Fold07.Rep1
N,N,1,0,24,2,Fold07.Rep1
N,N,0.932,0.068,26,2,Fold07.Rep1
N,N,0.748,0.252,31,2,Fold07.Rep1
N,N,0.658,0.342,33,2,Fold07.Rep1
N,N,0.996,0.004,42,2,Fold07.Rep1
N,N,0.932,0.068,62,2,Fold07.Rep1
N,N,0.748,0.252,66,2,Fold07.Rep1
N,N,0.884,0.116,117,2,Fold07.Rep1
N,N,0.748,0.252,125,2,Fold07.Rep1
N,N,0.96,0.04,131,2,Fold07.Rep1
N,N,0.658,0.342,143,2,Fold07.Rep1
N,S,0.758,0.242,145,2,Fold07.Rep1
N,S,0.96,0.04,149,2,Fold07.Rep1
N,S,0.998,0.002,153,2,Fold07.Rep1
N,S,0.658,0.342,160,2,Fold07.Rep1
N,S,0.998,0.002,173,2,Fold07.Rep1
S,S,0.428,0.572,179,2,Fold07.Rep1
N,N,0.944,0.056,21,2,Fold08.Rep1
S,N,0.298,0.702,32,2,Fold08.Rep1
N,N,0.986,0.014,43,2,Fold08.Rep1
N,N,0.954,0.046,45,2,Fold08.Rep1
N,N,0.884,0.116,50,2,Fold08.Rep1
N,N,1,0,60,2,Fold08.Rep1
N,N,0.982,0.018,68,2,Fold08.Rep1
N,N,0.884,0.116,80,2,Fold08.Rep1
N,N,1,0,85,2,Fold08.Rep1
N,N,0.516,0.484,97,2,Fold08.Rep1
N,N,0.954,0.046,99,2,Fold08.Rep1
N,N,0.86,0.14,105,2,Fold08.Rep1
N,N,0.944,0.056,118,2,Fold08.Rep1
N,N,0.986,0.014,122,2,Fold08.Rep1
N,S,0.994,0.006,155,2,Fold08.Rep1
N,S,0.884,0.116,171,2,Fold08.Rep1
N,S,0.982,0.018,178,2,Fold08.Rep1
N,S,0.986,0.014,180,2,Fold08.Rep1
S,S,0.298,0.702,187,2,Fold08.Rep1
N,S,0.954,0.046,192,2,Fold08.Rep1
N,N,0.99,0.01,11,2,Fold09.Rep1
N,N,0.998,0.002,12,2,Fold09.Rep1
N,N,0.878,0.122,30,2,Fold09.Rep1
N,N,0.998,0.002,35,2,Fold09.Rep1
N,N,0.998,0.002,41,2,Fold09.Rep1
N,N,0.656,0.344,55,2,Fold09.Rep1
N,N,0.686,0.314,64,2,Fold09.Rep1
N,N,0.998,0.002,93,2,Fold09.Rep1
N,N,1,0,98,2,Fold09.Rep1
N,N,0.96,0.04,100,2,Fold09.Rep1
N,N,0.968,0.032,103,2,Fold09.Rep1
N,N,0.924,0.076,106,2,Fold09.Rep1
N,N,0.998,0.002,112,2,Fold09.Rep1
N,N,0.968,0.032,126,2,Fold09.Rep1
N,N,0.878,0.122,130,2,Fold09.Rep1
N,S,1,0,161,2,Fold09.Rep1
S,S,0.424,0.576,164,2,Fold09.Rep1
N,S,0.924,0.076,185,2,Fold09.Rep1
N,S,0.686,0.314,188,2,Fold09.Rep1
N,S,0.99,0.01,194,2,Fold09.Rep1
N,S,0.976,0.024,203,2,Fold09.Rep1
N,N,0.884,0.116,1,2,Fold10.Rep1
N,N,0.864,0.136,2,2,Fold10.Rep1
N,N,0.974,0.026,5,2,Fold10.Rep1
N,N,0.886,0.114,34,2,Fold10.Rep1
N,N,0.998,0.002,37,2,Fold10.Rep1
S,N,0.294,0.706,51,2,Fold10.Rep1
N,N,0.894,0.106,63,2,Fold10.Rep1
N,N,0.974,0.026,69,2,Fold10.Rep1
S,N,0.312,0.688,74,2,Fold10.Rep1
N,N,0.878,0.122,95,2,Fold10.Rep1
